Lead ID,Date,Location,Form,Postcode,Make,Model,State,Registration Type,Badge,Colour,Second-preference Colour,Optional Package,Trade-in Yes/No,Year,Vehicle,Model,Odometer
3274846,3/8/26,JAC Motors Midland,HunterBuild,6108,JAC,Hunter,WA,,Hunter X 4x4,Hammerhead,I would like to wait for my preferred colour.,"Front & Rear Diff Lock - Already included, Power Sunroof $1,500",No,,,,
3274412,2/8/26,JAC Motors Campbelltown,HunterBuild,2568,JAC,Hunter,NSW,,Hunter Pro 4x4,Stratus,,"Front & Rear Diff Lock $1,888",Yes,2020,LDV,T60,112500
3274312,2/8/26,JAC Motors Midland,Register Your Interest JAC Hunter,6213,,,,,,,,,,,,,
3274307,2/8/26,Northern JAC Motors,HunterBuild,3150,JAC,Hunter,VIC,,Hunter X 4x4,Karak,Stratus,Front & Rear Diff Lock - Already included,Yes,2022,Volkswagen,Amarok,50500
3274191,1/8/26,Ipswich JAC Motors,Register Your Interest JAC Hunter,4300,,,,,,,,,,,,,
3274099,1/8/26,JAC Motors Wodonga,HunterBuild,3690,JAC,Hunter,NSW,Personal,Hunter Pro 4x4,Karak,Hammerhead,"Front & Rear Diff Lock $1,888",Yes,2016,Nissan,Qashqai,174000
3274019,1/8/26,JAC Motors Hampstead Gardens,Register Your Interest JAC Hunter,5051,,,,,,,,,,,,,
3273912,31/7/26,Coral Coast JAC Motors,HunterBuild,4815,JAC,Hunter,QLD,Personal,Hunter X 4x4,Stratus,Huntsman,Front & Rear Diff Lock - Already included,No,,,,
3273217,30/7/26,von Bibra JAC Motors,HunterBuild,4211,JAC,Hunter,NSW,Personal,Hunter Pro 4x4,Hammerhead,Karak,,Yes,2024,Mahindra,Scorpio,50000
3273201,30/7/26,JAC Motors Sunshine Coast - Maroochydore,HunterBuild,4553,JAC,Hunter,QLD,Business,Hunter X 4x4,Stratus,Karak,Front & Rear Diff Lock - Already included,No,,,,
3273139,29/7/26,JAC Motors Queanbeyan,HunterBuild,6250,JAC,Hunter,NSW,Personal,Hunter X 4x4,Ochre,,Front & Rear Diff Lock - Already included,,,,,
3273135,29/7/26,JAC Motors Hampstead Gardens,HunterBuild,5153,JAC,Hunter,NSW,Personal,Hunter X 4x4,Stratus,I would like to wait for my preferred colour.,"Front & Rear Diff Lock - Already included, Power Sunroof $1,500",No,,,,
3273131,29/7/26,Northern JAC Motors,HunterBuild,3850,JAC,Hunter,VIC,Business,Hunter X 4x4,Hammerhead,Huntsman,Front & Rear Diff Lock - Already included,No,,,,
3272956,29/7/26,JAC Motors Liverpool,Reserve Your Build,N/A,JAC,Hunter,NSW,Personal,Hunter X 4x4,Ochre,,Front & Rear Diff Lock - Already included,No,,,,
3272679,28/7/26,Sydney City JAC Motors,HunterBuild,2530,JAC,Hunter,NSW,Personal,Hunter X 4x4,Stratus,I would like to wait for my preferred colour.,"Front & Rear Diff Lock - Already included, Power Sunroof $1,500",No,,,,
3272671,28/7/26,Northern JAC Motors,HunterBuild,3044,JAC,Hunter,NSW,Personal,Hunter X 4x4,Ochre,Karak,Front & Rear Diff Lock - Already included,Yes,2019,Toyota,Hilux,257000
3272222,28/7/26,Kings Cars JAC Motors,HunterBuild,3666,JAC,Hunter,NSW,Personal,Hunter X 4x4,Stratus,Huntsman,"Front & Rear Diff Lock - Already included, Power Sunroof $1,500",No,,,,
