Lead ID,Date,Location,Form,Postcode,Make,Model,State,Registration Type,Badge,Colour,Second-preference Colour,Optional Package,Trade-in Yes/No,Year,Vehicle,Model,Odometer
3268826,21/7/2026,JAC Motors Wanneroo,Register Your Interest JAC Hunter,6007,,,,,,,,,,,,,
3268746,21/7/2026,JAC Motors Queanbeyan,Register Your Interest JAC Hunter,2582,,,,,,,,,,,,,
3268513,20/7/2026,Northern JAC Motors,HunterBuild,3076,JAC,Hunter,VIC,Personal,Hunter Pro 4x4,Hammerhead,I would like to wait for my preferred colour.,,Yes,Mitsubishi,Outlander,2018,109000
3268264,20/7/2026,Northern JAC Motors,HunterBuild,3076,JAC,Hunter,NSW,Personal,Hunter X 4x4,Ochre,Hammerhead,"Front & Rear Diff Lock - Already included, Power Sunroof $1,500",Yes,,,,
3267837,19/7/2026,Northern JAC Motors,HunterBuild,3140,JAC,Hunter,VIC,Personal,Hunter X 4x4,Ochre,,"Front & Rear Diff Lock - Already included, Power Sunroof $1,500",Yes,,Landrover,Discovery 5,192000
3267454,17/7/2026,Cricks Highway JAC Motors,HunterBuild,4130,JAC,Hunter,NSW,Personal,Hunter Pro 4x4,Ochre,Stratus,,Yes,2025,Mercedes Benz,GLA200,15000
3267201,17/7/2026,JAC Motors Midland,HunterBuild,6330,JAC,Hunter,NSW,Personal,Hunter X 4x4,Hammerhead,,Front & Rear Diff Lock - Already included,Yes,Ford Ranger,Crew Cab 4x4,Xlt,105035
3267189,17/7/2026,Northern JAC Motors,HunterBuild,3076,JAC,Hunter,VIC,Personal,Hunter Pro 4x4,Ochre,,,No,,,,
3267114,17/7/2026,JAC Motors Cardiff,HunterBuild,2283,JAC,Hunter,NSW,Business,Hunter X 4x4,Stratus,I would like to wait for my preferred colour.,"Front & Rear Diff Lock - Already included, Power Sunroof $1,500",Yes,Mitsubishi,Triton Space Cab,GLX+,120000
3266962,17/7/2026,Northern JAC Motors,Register Your Interest JAC Hunter,3094,,,,,,,,,,,,,
3266957,17/7/2026,Northern JAC Motors,Register Your Interest JAC Hunter,3094,,,,,,,,,,,,,
3266925,16/7/2026,JAC Motors Wanneroo,HunterBuild,6335,JAC,Hunter,WA,Personal,Hunter X 4x4,Stratus,I would like to wait for my preferred colour.,Front & Rear Diff Lock - Already included,Yes,2024,Jac,T9 haven,22000
3266894,16/7/2026,JAC Motors Penrith,HunterBuild,2750,JAC,Hunter,NSW,Business,Hunter X 4x4,Stratus,Huntsman,Front & Rear Diff Lock - Already included,Yes,2013,Toyota,Camry,215000
3266832,16/7/2026,Sydney City JAC Motors,Reserve Your Build,N/A,JAC,Hunter,NSW,Personal,Hunter X 4x4,Stratus,Hammerhead,"Front & Rear Diff Lock - Already included, Power Sunroof $1,500",Yes,2104,Volkswagen,Caddy,93000
3266749,16/7/2026,JAC Motors Wanneroo,Reserve Your Build,N/A,JAC,Hunter,WA,Personal,Hunter X 4x4,Karak,I would like to wait for my preferred colour.,Front & Rear Diff Lock - Already included,,,,,
3266718,16/7/2026,JAC Motors Dandenong,Reserve Your Build,N/A,JAC,Hunter,NSW,Personal,Hunter X 4x4,Karak,Karak,"Front & Rear Diff Lock - Already included, Power Sunroof $1,500",No,,,,
3266707,16/7/2026,JAC Motors,Register Your Interest JAC Hunter,2320,,,,,,,,,,,,,
3266511,16/7/2026,Coral Coast JAC Motors,Register Your Interest JAC Hunter,4805,,,,,,,,,,,,,
3266500,16/7/2026,JAC Motors Bendigo,Reserve Your Build,N/A,JAC,Hunter,VIC,Personal,Hunter X 4x4,Hammerhead,Huntsman,Front & Rear Diff Lock - Already included,No,,,,
3266300,15/7/2026,JAC Motors Queanbeyan,Register Your Interest JAC Hunter,2906,,,,,,,,,,,,,
3266237,15/7/2026,Sydney City JAC Motors,Register Your Interest JAC Hunter,2233,,,,,,,,,,,,,
3265891,14/7/2026,JAC Motors Bendigo,HunterBuild,3753,JAC,Hunter,NSW,,Hunter Pro 4x4,Stratus,I would like to wait for my preferred colour.,,Yes,2023,Ldv,Max lux,77500
3265516,14/7/2026,Keystar JAC Motors Morayfield,HunterBuild,4510,JAC,Hunter,QLD,Personal,Hunter Pro 4x4,Ochre,,,No,,,,
3265436,14/7/2026,JAC Motors Capalaba,Register Your Interest JAC Hunter,4157,,,,,,,,,,,,,
3265335,14/7/2026,Sydney City JAC Motors,HunterBuild,2224,JAC,Hunter,NSW,Business,Hunter X 4x4,Stratus,I would like to wait for my preferred colour.,"Front & Rear Diff Lock - Already included, Power Sunroof $1,500",Yes,2020,LDV,T60 Luxe Mega Tub,78000
3265299,14/7/2026,Sydney City JAC Motors,Register Your Interest JAC Hunter,2026,,,,,,,,,,,,,
