Lead ID,Date,Location,Form,Postcode,Make,Model,State,Registration Type,Badge,Colour,Second-preference Colour,Optional Package,Trade-in Yes/No,Year,Vehicle,Model,Odometer
3265335,14/7/2026,Sydney City JAC Motors,HunterBuild,2224,JAC,Hunter,NSW,Business,Hunter X 4x4,Stratus,I would like to wait for my preferred colour.,"Front & Rear Diff Lock - Already included, Power Sunroof $1,500",Yes,2020,LDV,T60 Luxe Mega Tub,78000
3265299,14/7/2026,Sydney City JAC Motors,Register Your Interest JAC Hunter,2026,,,,,,,,,,,,,
3265233,13/7/2026,Northern JAC Motors,HunterBuild,3134,JAC,Hunter,VIC,Personal,Hunter X 4x4,Hammerhead,I would like to wait for my preferred colour.,"Front & Rear Diff Lock - Already included, Power Sunroof $1,500",No,,,,
3264931,13/7/2026,Coral Coast JAC Motors,HunterBuild,4670,JAC,Hunter,QLD,Business,Hunter Pro 4x4,Ochre,I would like to wait for my preferred colour.,,No,,,,
3264631,12/7/2026,Northern JAC Motors,Register Your Interest JAC Hunter,3910,,,,,,,,,,,,,
3264468,12/7/2026,Northern JAC Motors,HunterBuild,3134,JAC,Hunter,VIC,Personal,Hunter X 4x4,Stratus,,"Front & Rear Diff Lock - Already included, Power Sunroof $1,500",Yes,Mitsubishi,Triton,GLX-R,350000
3264396,12/7/2026,JAC Motors Rockhampton,HunterBuild,4870,JAC,Hunter,QLD,Personal,Hunter X 4x4,Ochre,I would like to wait for my preferred colour.,Front & Rear Diff Lock - Already included,Yes,2018,HONDA,CRV VTI LX,51000
3264345,12/7/2026,Ipswich JAC Motors,HunterBuild,4300,JAC,Hunter,QLD,Personal,Hunter X 4x4,Karak,Karak,Front & Rear Diff Lock - Already included,Yes,2023,Toyota,Rav4 cruiser,58000
3264343,12/7/2026,Northern JAC Motors,Register Your Interest JAC Hunter,3070,,,,,,,,,,,,,
3264300,12/7/2026,Parramatta City JAC Motors,HunterBuild,2761,JAC,Hunter,NSW,Personal,Hunter Pro 4x4,Ochre,Karak,,No,,,,
3264296,12/7/2026,JAC Motors Midland,HunterBuild,6330,JAC,Hunter,NSW,Personal,Hunter X 4x4,Hammerhead,,Front & Rear Diff Lock - Already included,Yes,2015,Ford Ranger,XLT dual cab 4x4,105453
