Lead ID,Date,Location,Form,Postcode,Make,Model,State,Registration Type,Badge,Colour,Second-preference Colour,Optional Package,Trade-in Yes/No,Year,Vehicle,Model,Odometer
3262818,8/7/2026,JAC Motors Wanneroo,HunterBuild,6025,JAC,Hunter,NSW,Personal,Hunter Pro 4x4,Huntsman,I would like to wait for my preferred colour.,,Yes,2019,Volkswa,Amorak,105000
3262507,7/7/2026,Coral Coast JAC Motors,HunterBuild,4810,JAC,Hunter,QLD,Personal,Hunter X 4x4,Hammerhead,Huntsman,Front & Rear Diff Lock - Already included,Yes,2022,Hyundai,Tuscon NLine Highlander,91000
3262471,7/7/2026,Northern JAC Motors,HunterBuild,3109,JAC,Hunter,NSW,Personal,Hunter Pro 4x4,Karak,Hammerhead,,Yes,Ford,Raptor,2023,96000
3262203,7/7/2026,JAC Motors Werribee,HunterBuild,3336,JAC,Hunter,VIC,Personal,Hunter X 4x4,Huntsman,,Front & Rear Diff Lock - Already included,Yes,2017,Ford,Focus,17900
3262160,7/7/2026,JAC Motors Hampstead Gardens,HunterBuild,5152,JAC,Hunter,NSW,Personal,Hunter X 4x4,Hammerhead,Huntsman,Front & Rear Diff Lock - Already included,Yes,2020,Ford,Ranger raptor,100000
3262061,7/7/2026,Sydney City JAC Motors,Register Your Interest JAC Hunter,2232,,,,,,,,,,,,,
3261864,6/7/2026,Mildura JAC Motors,HunterBuild,5345,JAC,Hunter,NSW,Personal,Hunter X 4x4,Hammerhead,Huntsman,Front & Rear Diff Lock - Already included,No,,,,
3261412,6/7/2026,Kings Cars JAC Motors,HunterBuild,3350,JAC,Hunter,NSW,Personal,Hunter X 4x4,Ochre,Stratus,Front & Rear Diff Lock - Already included,Yes,2019,Honda,Hrv,"180,000"
3261128,5/7/2026,JAC Motors Sunshine Coast - Maroochydore,Register Your Interest JAC Hunter,4573,,,,,,,,,,,,,
3260961,4/7/2026,Northern JAC Motors,HunterBuild,3802,JAC,Hunter,NSW,Personal,Hunter X 4x4,Karak,I would like to wait for my preferred colour.,Front & Rear Diff Lock - Already included,No,,,,
3260884,4/7/2026,JAC Motors Hillcrest,HunterBuild,4074,JAC,Hunter,QLD,Personal,Hunter Pro 4x4,Hammerhead,Stratus,,Yes,2011,Jeep,Cherokee Sport,125448
3260761,3/7/2026,Ipswich JAC Motors,HunterBuild,4370,JAC,Hunter,QLD,Personal,Hunter Pro 4x4,Hammerhead,Karak,Front & Rear Diff Lock - $TBC,No,,,,
3260746,3/7/2026,JAC Motors Liverpool,HunterBuild,2172,JAC,Hunter,NSW,Personal,Hunter X 4x4,Ochre,Hammerhead,Front & Rear Diff Lock - Already included,Yes,2021,Mitsubitshi,Express,130000
3260739,3/7/2026,Northern JAC Motors,HunterBuild,3913,JAC,Hunter,VIC,Personal,Hunter X 4x4,Stratus,I would like to wait for my preferred colour.,"Front & Rear Diff Lock - Already included, Power Sunroof - $TBC",No,,,,
3260715,3/7/2026,JAC Motors Rockhampton,HunterBuild,4719,JAC,Hunter,QLD,Personal,Hunter Pro 4x4,Ochre,I would like to wait for my preferred colour.,,No,,,,
3260636,3/7/2026,Coral Coast JAC Motors,HunterBuild,4814,JAC,Hunter,NSW,Personal,Hunter X 4x4,Karak,I would like to wait for my preferred colour.,Front & Rear Diff Lock - Already included,No,,,,
3260631,3/7/2026,JAC Motors Wanneroo,HunterBuild,6028,JAC,Hunter,WA,Personal,Hunter X 4x4,Hammerhead,Hammerhead,Front & Rear Diff Lock - Already included,No,,,,
3260581,3/7/2026,Keystar JAC Motors Kippa-Ring,Reserve Your Build,N/A,JAC,Hunter,QLD,Personal,Hunter X 4x4,Karak,I would like to wait for my preferred colour.,"Front & Rear Diff Lock - Already included, Power Sunroof - $TBC",No,,,,
3260561,3/7/2026,JAC Motors Liverpool,HunterBuild,2206,JAC,Hunter,NSW,Personal,Hunter X 4x4,Ochre,Karak,Front & Rear Diff Lock - Already included,Yes,2019,Ford,Ranger,270000
3260558,3/7/2026,Coral Coast JAC Motors,HunterBuild,4800,JAC,Hunter,NSW,Personal,Hunter X 4x4,Huntsman,I would like to wait for my preferred colour.,"Front & Rear Diff Lock - Already included, Power Sunroof - $TBC",No,,,,
3260553,3/7/2026,Northern JAC Motors,HunterBuild,3134,JAC,Hunter,VIC,Personal,Hunter X 4x4,Hammerhead,Karak,Front & Rear Diff Lock - Already included,No,,,,
3260385,3/7/2026,JAC Motors,Register Your Interest JAC Hunter,2526,,,,,,,,,,,,,
3260280,2/7/2026,Parramatta City JAC Motors,Register Your Interest JAC Hunter,2099,,,,,,,,,,,,,
3260220,2/7/2026,JAC Motors Rockhampton,Register Your Interest JAC Hunter,4879,,,,,,,,,,,,,
3260030,2/7/2026,JAC Motors Hampstead Gardens,Register Your Interest JAC Hunter,5159,,,,,,,,,,,,,
3260011,2/7/2026,Sydney City JAC Motors,Register Your Interest JAC Hunter,2221,,,,,,,,,,,,,
3259933,2/7/2026,JAC Motors Hampstead Gardens,Register Your Interest JAC Hunter,5125,,,,,,,,,,,,,
3259287,30/6/2026,JAC Motors Hillcrest,Register Your Interest JAC Hunter,4075,,,,,,,,,,,,,
3259179,30/6/2026,JAC Motors Dandenong,Reserve Your Build,N/A,JAC,Hunter,NSW,Personal,Hunter X 4x4,Hammerhead,I would like to wait for my preferred colour.,"Front & Rear Diff Lock - Already included, Power Sunroof - $TBC",No,,,,
3259099,30/6/2026,JAC Motors,Register Your Interest JAC Hunter,7315,,,,,,,,,,,,,
3258987,30/6/2026,JAC Motors Liverpool,Register Your Interest JAC Hunter,2206,,,,,,,,,,,,,
3258946,30/6/2026,JAC Motors Campbelltown,Register Your Interest JAC Hunter,2570,,,,,,,,,,,,,
3258929,30/6/2026,E.L.N. JAC Motors,Reserve Your Build,N/A,JAC,Hunter,NSW,Personal,Hunter X 4x4,Stratus,Ochre,Front & Rear Diff Lock - Already included,No,,,,
3258833,30/6/2026,JAC Motors Sunshine Coast - Nambour,Register Your Interest JAC Hunter,4566,,,,,,,,,,,,,
