Lead ID,Date,Location,Form,Postcode,Make,Model,State,Registration Type,Badge,Colour,Second-preference Colour,Optional Package,Trade-in Yes/No,Year,Vehicle,Model,Odometer
3288728,1/9/2026,JAC Motors Rockhampton,HunterBuild,4881,JAC,Hunter,QLD,,Hunter X 4x4,Huntsman,I would like to wait for my preferred colour.,Front & Rear Diff Lock - Already included,No,,,,
3288595,1/9/2026,JAC Motors Liverpool,HunterBuild,2170,JAC,Hunter,NSW,,Hunter X 4x4,Hammerhead,Huntsman,Front & Rear Diff Lock - Already included,Yes,2018,Ford,Ranger PXIII,190000
3288262,1/9/2026,Sydney City JAC Motors,HunterBuild,2020,JAC,Hunter,NSW,,Hunter X 4x4,Hammerhead,Stratus,"Front & Rear Diff Lock - Already included, Power Sunroof $1,500",Yes,2012,Ford,Ranger,220000
3288094,31/8/2026,JAC Motors,Register Your Interest JAC Hunter,7000,,,,,,,,,,,,,
3287659,31/8/2026,Sydney City JAC Motors,HunterBuild,2221,JAC,Hunter,NSW,,Hunter Pro 4x4,Hammerhead,Hammerhead,,Yes,2023,Ford,Raptor,85000
3287581,30/8/2026,JAC Motors Penrith,HunterBuild,2759,JAC,Hunter,NSW,,Hunter Pro 4x4,Ochre,,,No,,,,
3287480,30/8/2026,JAC Motors Hillcrest,HunterBuild,4350,JAC,Hunter,QLD,,Hunter X 4x4,Stratus,I would like to wait for my preferred colour.,Front & Rear Diff Lock - Already included,No,,,,
3287347,30/8/2026,Northern JAC Motors,HunterBuild,3189,JAC,Hunter,VIC,,Hunter X 4x4,Ochre,Huntsman,Front & Rear Diff Lock - Already included,Yes,2010,Ford,Teritorry,1680000
3287340,30/8/2026,JAC Motors Hampstead Gardens,HunterBuild,5087,JAC,Hunter,NSW,,Hunter Pro 4x4,Huntsman,Karak,,Yes,2022,HONDA,HRV HYBRID,45000
3287224,29/8/2026,JAC Motors Wanneroo,HunterBuild,6010,JAC,Hunter,WA,,Hunter X 4x4,Karak,I would like to wait for my preferred colour.,Front & Rear Diff Lock - Already included,No,,,,
3287112,29/8/2026,JAC Motors Hampstead Gardens,HunterBuild,5007,JAC,Hunter,SA,,Hunter Pro 4x4,Stratus,Stratus,,No,,,,
3287005,29/8/2026,Cricks Tweed JAC Motors,HunterBuild,4223,JAC,Hunter,NSW,,Hunter X 4x4,Hammerhead,Karak,Front & Rear Diff Lock - Already included,No,,,,
3286562,28/8/2026,JAC Motors Campbelltown,HunterBuild,2570,JAC,Hunter,NSW,,Hunter X 4x4,Hammerhead,I would like to wait for my preferred colour.,Front & Rear Diff Lock - Already included,Yes,2023,Ford,Wildtrak 3.0L Premium pack,95000
3286430,27/8/2026,JAC Motors Hillcrest,HunterBuild,4125,JAC,Hunter,QLD,,Hunter Pro 4x4,Stratus,Stratus,"Front & Rear Diff Lock $1,888",Yes,2009,Ford,Tx,"250,000"
3286414,27/8/2026,JAC Motors Wodonga,HunterBuild,2680,JAC,Hunter,NSW,,Hunter X 4x4,Huntsman,Hammerhead,Front & Rear Diff Lock - Already included,No,,,,
3286158,27/8/2026,JAC Motors Rockhampton,Register Your Interest JAC Hunter,4680,,,,,,,,,,,,,
3286094,27/8/2026,JAC Motors Queanbeyan,HunterBuild,2620,JAC,Hunter,NSW,,Hunter X 4x4,Ochre,Ochre,Front & Rear Diff Lock - Already included,No,,,,
3285753,26/8/2026,Northern JAC Motors,Register Your Interest JAC Hunter,3754,,,,,,,,,,,,,
