Lead ID,Date,Location,Form,Postcode,Make,Model,State,Registration Type,Badge,Colour,Second-preference Colour,Optional Package,Trade-in Yes/No,Year,Vehicle,Model,Odometer
3259287,30/6/2026,JAC Motors Hillcrest,Register Your Interest JAC Hunter,4075,,,,,,,,,,,,,
3259179,30/6/2026,JAC Motors Dandenong,Reserve Your Build,,JAC,Hunter,NSW,Personal,Hunter X 4x4,Hammerhead,I would like to wait for my preferred colour.,"Front & Rear Diff Lock - Already included, Power Sunroof - $TBC",No,,,,
3259099,30/6/2026,JAC Motors,Register Your Interest JAC Hunter,7315,,,,,,,,,,,,,
3258987,30/6/2026,JAC Motors Liverpool,Register Your Interest JAC Hunter,2206,,,,,,,,,,,,,
3258946,30/6/2026,JAC Motors Campbelltown,Register Your Interest JAC Hunter,2570,,,,,,,,,,,,,
3258929,30/6/2026,E.L.N. JAC Motors,Reserve Your Build,,JAC,Hunter,NSW,Personal,Hunter X 4x4,Stratus,Ochre,Front & Rear Diff Lock - Already included,No,,,,
3258833,30/6/2026,JAC Motors Sunshine Coast - Nambour,Register Your Interest JAC Hunter,4566,,,,,,,,,,,,,
3258784,29/6/2026,JAC Motors Queanbeyan,Register Your Interest JAC Hunter,2602,,,,,,,,,,,,,
3258443,29/6/2026,JAC Motors Liverpool,HunterBuild,2170,JAC,Hunter,NSW,Business,Hunter X 4x4,Stratus,Ochre,Front & Rear Diff Lock - Already included,No,,,,
3258400,29/6/2026,JAC Motors Hampstead Gardens,Reserve Your Build,,JAC,Hunter,NSW,Personal,Hunter Pro 4x4,Karak,Hammerhead,"Deep Dish Tub Liner, Towbar",No,,,,
3258102,28/6/2026,Keystar JAC Motors Morayfield,HunterBuild,4511,JAC,Hunter,QLD,Personal,Hunter X 4x4,Stratus,I would like to wait for my preferred colour.,Front & Rear Diff Lock - Already included,Yes,2018,Ford,Ranger PX2 Widtrak,110000
3258063,28/6/2026,Northern JAC Motors,Register Your Interest JAC Hunter,3134,,,,,,,,,,,,,
3257775,28/6/2026,Northern JAC Motors,Register Your Interest JAC Hunter,3168,,,,,,,,,,,,,
3257750,27/6/2026,E.L.N. JAC Motors,Register Your Interest JAC Hunter,2286,,,,,,,,,,,,,
3257668,27/6/2026,E.L.N. JAC Motors,Register Your Interest JAC Hunter,2285,,,,,,,,,,,,,
3257617,27/6/2026,JAC Motors Wanneroo,Reserve Your Build,,JAC,Hunter,WA,Business,Hunter Pro 4x4,Ochre,,"Roof Tray, Light Bar, Towbar, Electronic Brake Controller",No,,,,
3257564,27/6/2026,JAC Motors Rockhampton,Register Your Interest JAC Hunter,4870,,,,,,,,,,,,,
3257485,27/6/2026,JAC Motors Hillcrest,Register Your Interest JAC Hunter,4352,,,,,,,,,,,,,
3257417,26/6/2026,South Morang JAC Motors,HunterBuild,3753,JAC,Hunter,VIC,Personal,Hunter Pro 4x4,Ochre,Karak,"Electronic Hard Lid, Towbar, Electronic Brake Controller",Yes,2021,Ldv,T60 mega tub lux,"110,000"
3257370,26/6/2026,von Bibra JAC Motors,Register Your Interest JAC Hunter,4214,,,,,,,,,,,,,
3257303,26/6/2026,JAC Motors Midland,Register Your Interest JAC Hunter,6053,,,,,,,,,,,,,
3256937,25/6/2026,JAC Motors Midland,HunterBuild,6167,JAC,Hunter,NSW,Personal,Hunter X 4x4,Ochre,I would like to wait for my preferred colour.,Front & Rear Diff Lock - Already included,Yes,2023,Ldv,T60 max lux,24000
3256922,25/6/2026,JAC Motors Hampstead Gardens,Register Your Interest JAC Hunter,5019,,,,,,,,,,,,,
3256807,25/6/2026,Cricks Tweed JAC Motors,HunterBuild,2488,JAC,Hunter,NSW,Personal,Hunter Pro 4x4,Huntsman,Karak,,Yes,2025,JAC,T9 HAVEN,16000
3256483,24/6/2026,Northern JAC Motors,HunterBuild,3076,JAC,Hunter,VIC,Personal,Hunter Pro 4x4,Karak,Hammerhead,"Deep Dish Tub Liner, Electronic Roll Top, Towbar, Electronic Brake Controller",No,,,,
3256448,24/6/2026,JAC Motors,Register Your Interest JAC Hunter,3381,,,,,,,,,,,,,
3256279,24/6/2026,JAC Motors Gawler,Register Your Interest JAC Hunter,5114,,,,,,,,,,,,,
3256210,24/6/2026,JAC Motors Capalaba,Register Your Interest JAC Hunter,4160,,,,,,,,,,,,,
3255691,23/6/2026,JAC Motors Hampstead Gardens,Register Your Interest JAC Hunter,5011,,,,,,,,,,,,,
3255316,23/6/2026,JAC Motors Sunshine Coast - Maroochydore,Register Your Interest JAC Hunter,4573,,,,,,,,,,,,,
