Lead ID,Date,Location,Form,Postcode,Make,Model,State,Registration Type,Badge,Colour,Second-preference Colour,Optional Package,Trade-in Yes/No,Year,Vehicle,Model,Odometer
3272222,28/7/2026,Kings Cars JAC Motors,HunterBuild,3666,JAC,Hunter,NSW,Personal,Hunter X 4x4,Stratus,Huntsman,"Front & Rear Diff Lock - Already included, Power Sunroof $1,500",No,,,,
3271624,27/7/2026,Northern JAC Motors,HunterBuild,3058,JAC,Hunter,VIC,Business,Hunter X 4x4,Hammerhead,Karak,"Front & Rear Diff Lock - Already included, Power Sunroof $1,500",No,,,,
3271461,26/7/2026,JAC Motors Campbelltown,Register Your Interest JAC Hunter,2566,,,,,,,,,,,,,
3271405,26/7/2026,Kings Cars JAC Motors,Register Your Interest JAC Hunter,3217,,,,,,,,,,,,,
3271215,25/7/2026,JAC Motors Hampstead Gardens,HunterBuild,5022,JAC,Hunter,SA,Business,Hunter X 4x4,Huntsman,I would like to wait for my preferred colour.,"Front & Rear Diff Lock - Already included, Power Sunroof $1,500",No,,,,
3271164,25/7/2026,JAC Motors Wodonga,HunterBuild,3690,JAC,Hunter,NSW,Personal,Hunter Pro 4x4,Karak,Hammerhead,"Front & Rear Diff Lock $1,888",Yes,2016,Nissan,Qashqai,173000
3271143,25/7/2026,JAC Motors Hampstead Gardens,HunterBuild,5016,JAC,Hunter,NSW,Personal,Hunter X 4x4,Karak,Ochre,Front & Rear Diff Lock - Already included,No,,,,
3270693,24/7/2026,Keystar JAC Motors Kippa-Ring,HunterBuild,4507,JAC,Hunter,QLD,Personal,Hunter X 4x4,Ochre,I would like to wait for my preferred colour.,Front & Rear Diff Lock - Already included,Yes,2019,Mazda,BT50,85000
3270454,24/7/2026,JAC Motors Queanbeyan,HunterBuild,2913,JAC,Hunter,QLD,Personal,Hunter X 4x4,Karak,I would like to wait for my preferred colour.,"Front & Rear Diff Lock - Already included, Power Sunroof $1,500",Yes,2020,Toyota,Ascent Sport Hybrid,125000
3270199,23/7/2026,Northern JAC Motors,HunterBuild,3130,JAC,Hunter,NSW,Personal,Hunter Pro 4x4,Stratus,Karak,,Yes,2024,JAC,T9,18845
3270164,23/7/2026,JAC Motors Queanbeyan,Register Your Interest JAC Hunter,2902,,,,,,,,,,,,,
3270104,23/7/2026,JAC Motors,Register Your Interest JAC Hunter,7052,,,,,,,,,,,,,
3269796,22/7/2026,JAC Motors Queanbeyan,Register Your Interest JAC Hunter,2602,,,,,,,,,,,,,
3269765,22/7/2026,Geoff King JAC Motors,HunterBuild,2450,JAC,Hunter,NSW,Personal,Hunter X 4x4,Huntsman,Hammerhead,Front & Rear Diff Lock - Already included,Yes,2025,Omoda 9,Virtue,15000
3269102,21/7/2026,JAC Motors Penrith,HunterBuild,2749,JAC,Hunter,NSW,Personal,Hunter X 4x4,Ochre,I would like to wait for my preferred colour.,Front & Rear Diff Lock - Already included,No,,,,
3268826,21/7/2026,JAC Motors Wanneroo,Register Your Interest JAC Hunter,6007,,,,,,,,,,,,,
3268746,21/7/2026,JAC Motors Queanbeyan,Register Your Interest JAC Hunter,2582,,,,,,,,,,,,,
