Lead ID,Date,Location,Form,Postcode,Make,Model,State,Registration Type,Badge,Colour,Second-preference Colour,Optional Package,Trade-in Yes/No,Year,Vehicle,Model,Odometer
3299015,21/9/2026,Coral Coast JAC Motors,HunterBuild,4670,JAC,Hunter,NSW,,Hunter Pro 4x4,Ochre,,,Yes,Mazda,Mazda,BT50,46000
3298804,21/9/2026,JAC Motors Midland,HunterBuild,6126,JAC,Hunter,WA,,Hunter X 4x4,Hammerhead,,Front & Rear Diff Lock - Already included,No,,,,
3298700,21/9/2026,JAC Motors Moorooka,HunterBuild,4078,JAC,Hunter,QLD,,Hunter X 4x4,Stratus,,Front & Rear Diff Lock - Already included,Yes,2015,Mitsubishi Pajero,NX Exceed 7 seat,"216,000"
3298305,20/9/2026,JAC Motors Midland,HunterBuild,6090,JAC,Hunter,WA,,Hunter Pro 4x4,Stratus,Stratus,,No,,,,
3298283,20/9/2026,JAC Motors Queanbeyan,HunterBuild,2607,JAC,Hunter,ACT,,Hunter Pro 4x4,Stratus,Stratus,,Yes,2013,Mitsubishi,ASX,195000
3298093,20/9/2026,Northern JAC Motors,HunterBuild,7009,JAC,Hunter,VIC,,Hunter X 4x4,Ochre,I would like to wait for my preferred colour.,Front & Rear Diff Lock - Already included,No,,,,
3298062,20/9/2026,JAC Motors Midland,HunterBuild,6566,JAC,Hunter,NSW,,Hunter Pro 4x4,Huntsman,Hammerhead,,Yes,2017,Colorado,Holden,370000
3298048,19/9/2026,Keystar JAC Motors Rothwell,HunterBuild,4507,JAC,Hunter,QLD,,Hunter X 4x4,Hammerhead,Huntsman,"Front & Rear Diff Lock - Already included, Power Sunroof $1,500",Yes,2017,Nissan,Navara,215000
3297661,18/9/2026,JAC Motors,Register Your Interest JAC Hunter,2534,,,,,,,,,,,,,
3297322,18/9/2026,JAC Motors Hillcrest,HunterBuild,4069,JAC,Hunter,NSW,,Hunter Pro 4x4,Hammerhead,Karak,,Yes,2023,Nissan Navara,ST-X 4x4 Learher interior - no sunroof - 2.3L,"83,000"
3297207,17/9/2026,Woodley’s JAC Motors,HunterBuild,2359,JAC,Hunter,NSW,,Hunter Pro 4x4,Karak,Stratus,"Front & Rear Diff Lock $1,888",No,,,,
3296142,16/9/2026,JAC Motors Midland,HunterBuild,6237,JAC,Hunter,WA,,Hunter X 4x4,Karak,Hammerhead,"Front & Rear Diff Lock - Already included, Power Sunroof $1,500",Yes,2011,Toyota,76 series,220000
3295807,15/9/2026,Northern JAC Motors,HunterBuild,3658,JAC,Hunter,VIC,,Hunter X 4x4,Stratus,I would like to wait for my preferred colour.,Front & Rear Diff Lock - Already included,Yes,2016,Holden,Colorado LTX,264000
3295147,14/9/2026,JAC Motors Rockhampton,HunterBuild,4680,JAC,Hunter,QLD,,Hunter X 4x4,Hammerhead,,Front & Rear Diff Lock - Already included,Yes,2022,Haval,H6 Ultra,55000
