Lead ID,Date,Location,Form,Postcode,Make,Model,State,Registration Type,Badge,Colour,Second-preference Colour,Optional Package,Trade-in Yes/No,Year,Vehicle,Model,Odometer
3278279,10/8/2026,JAC Motors Cardiff,HunterBuild,2303,JAC,Hunter,NSW,,Hunter X 4x4,Hammerhead,Ochre,Front & Rear Diff Lock - Already included,No,,,,
3278204,10/8/2026,JAC Motors Liverpool,Register Your Interest JAC Hunter,2170,,,,,,,,,,,,,
3277982,10/8/2026,Ipswich JAC Motors,HunterBuild,4306,JAC,Hunter,QLD,,Hunter X 4x4,Ochre,Huntsman,"Front & Rear Diff Lock - Already included, Power Sunroof $1,500",No,,,,
3277939,9/8/2026,Northern JAC Motors,Register Your Interest JAC Hunter,3754,,,,,,,,,,,,,
3277920,9/8/2026,Coral Coast JAC Motors,HunterBuild,4670,JAC,Hunter,NSW,,Hunter X 4x4,Huntsman,I would like to wait for my preferred colour.,Front & Rear Diff Lock - Already included,Yes,Kia,sportage,2013,122386
3277848,9/8/2026,Coral Coast JAC Motors,HunterBuild,4815,JAC,Hunter,QLD,,Hunter X 4x4,Hammerhead,Huntsman,Front & Rear Diff Lock - Already included,No,,,,
3277643,8/8/2026,Ipswich JAC Motors,HunterBuild,4343,JAC,Hunter,QLD,,Hunter X 4x4,Ochre,Stratus,"Front & Rear Diff Lock - Already included, Power Sunroof $1,500",Yes,2021,Mitsubishi,Pajero Sport Exceed 4x4,115000
3277546,8/8/2026,JAC Motors Campbelltown,Reserve Your Build,N/A,JAC,Hunter,NSW,,Hunter X 4x4,Karak,I would like to wait for my preferred colour.,Front & Rear Diff Lock - Already included,Yes,2019,LDV,T60,133000
3277427,8/8/2026,JAC Motors Gawler,Register Your Interest JAC Hunter,5485,,,,,,,,,,,,,
3277381,8/8/2026,JAC Motors Liverpool,HunterBuild,2172,JAC,Hunter,NSW,,Hunter X 4x4,Karak,Ochre,"Front & Rear Diff Lock - Already included, Power Sunroof $1,500",Yes,2020,Isuzu,DMax,3000000
3277340,7/8/2026,von Bibra JAC Motors,HunterBuild,4209,JAC,Hunter,QLD,,Hunter X 4x4,Karak,Stratus,Front & Rear Diff Lock - Already included,Yes,2019,Mercedes,X350D,116000
3276917,7/8/2026,von Bibra JAC Motors,Register Your Interest JAC Hunter,4213,,,,,,,,,,,,,
3276902,7/8/2026,JAC Motors Hampstead Gardens,Register Your Interest JAC Hunter,5051,,,,,,,,,,,,,
3276824,6/8/2026,JAC Motors Gympie,Register Your Interest JAC Hunter,4655,,,,,,,,,,,,,
3276818,6/8/2026,Northern JAC Motors,Register Your Interest JAC Hunter,3840,,,,,,,,,,,,,
3276710,6/8/2026,Keystar JAC Motors Kippa-Ring,Register Your Interest JAC Hunter,4030,,,,,,,,,,,,,
3276284,5/8/2026,JAC Motors Hampstead Gardens,HunterBuild,5142,JAC,Hunter,SA,,Hunter X 4x4,Ochre,Karak,Front & Rear Diff Lock - Already included,Yes,2018,Mitsubishi,Triton,155000
3276233,5/8/2026,JAC Motors Wanneroo,HunterBuild,6030,JAC,Hunter,NSW,,Hunter X 4x4,Ochre,,Front & Rear Diff Lock - Already included,Yes,2022,Gwm,Cannon,22000
3276047,5/8/2026,Northern JAC Motors,HunterBuild,3196,JAC,Hunter,VIC,,Hunter X 4x4,Ochre,I would like to wait for my preferred colour.,Front & Rear Diff Lock - Already included,No,,,,
3275691,4/8/2026,Ipswich JAC Motors,HunterBuild,4341,JAC,Hunter,NSW,,Hunter X 4x4,Huntsman,Ochre,Front & Rear Diff Lock - Already included,No,,,,
